Curso,Remetente,Data,ID
"LOGÍSTICA INDUSTRIAL - 00218.2026.0014","Senai DR-CE (via SENAI-CE)","2026-03-11 12:38:26 +00:00","19cdce7d65b2bb80"
"PROGRAMAÇÃO DE PRODUÇÃO - 00218.2026.0014","Senai DR-CE (via SENAI-CE)","2026-03-11 12:38:26 +00:00","19cdce7d446eac60"
